"name","bibref"
"Robert C Berwick","miyagawa2013emergence"
"Kazuo Okanoya","miyagawa2013emergence"
"Manuel Mueller-Frank","mueller2013general"
"Daniel A Mullins","mullins2013role"
"Harvey Whitehouse","mullins2013role"
"Quentin D Atkinson","mullins2013role"
"Mark Pagel","pagel2013ultraconserved"
"Quentin D Atkinson","pagel2013ultraconserved"
"Andreea S Calude","pagel2013ultraconserved"
"Andrew Meade","pagel2013ultraconserved"
"James N Stanford","stanford_pan_2013"
"Yanhong Pan","stanford_pan_2013"
"Terrence Twomey","twomey2013cognitive"
"Amy Beth Warriner","warriner2013norms"
"Victor Kuperman","warriner2013norms"
"Marc Brysbaert","warriner2013norms"
"Bo Yao","yao2013semantic"
"Milica Vasiljevic","yao2013semantic"
"Mario Weick","yao2013semantic"
"Margaret E Sereno","yao2013semantic"
"Patrick J O'Donnell","yao2013semantic"
"Sara C Sereno","yao2013semantic"
"Tatsuya Amano","amano2014global"
"Brody Sandel","amano2014global"
"Heidi Eager","amano2014global"
"Edouard Bulteau","amano2014global"
"Jens-Christian Svenning","amano2014global"
"Bo Dalsgaard","amano2014global"
"Carsten Rahbek","amano2014global"
"Richard G Davies","amano2014global"
"William J Sutherland","amano2014global"
"Jacob Bock Axelsen","axelsen2014river"
"Susanna Manrubia","axelsen2014river"
"Raffaela Baechler","baechler2014diachronic"
"Ellen Bialystok","bialystok2014language"
"Gregory J Poarch","bialystok2014language"
"Claire Bowern","bowern2014loan"
"Hannah J Haynie","bowern2014loan"
"Catherine Sheard","bowern2014loan"
"Barry Alpher","bowern2014loan"
"Patience Epps","bowern2014loan"
"Jane Hill","bowern2014loan"
"Patrick McConvell","bowern2014loan"
"Steven Brown","brown2014correlations"
"Patrick E Savage","brown2014correlations"
"Albert Min-Shan Ko","brown2014correlations"
"Mark Stoneking","brown2014correlations"
"Ying-Chin Ko","brown2014correlations"
"Jun-Hun Loo","brown2014correlations"
"Jean A Trejaut","brown2014correlations"
"Scott DeLancey","delancey_2014"
"Robin IM Dunbar","dunbar2014conversations"
"Robin IM Dunbar","dunbar2014fireside"
"John AJ Gowlett","dunbar2014fireside"
"Nicolas Fay","fay2014creating"
"Casey J Lister","fay2014creating"
"T Mark Ellison","fay2014creating"
"Susan Goldin-Meadow","fay2014creating"
"Michael C Gavin","GavinStepp2014"
"John Richard Stepp","GavinStepp2014"
"Ewa Kacewicz","Kacewiczetal2014"
"James W Pennebaker","Kacewiczetal2014"
"Matthew Davis","Kacewiczetal2014"
"Moongee Jeon","Kacewiczetal2014"
"Arthur C Graesser","Kacewiczetal2014"
"Yoshihisa Kashima","kashima2014language"
"Emiko S Kashima","kashima2014language"
"Evan Kidd","kashima2014language"
"Victor Kuperman","kuperman2014emotion"
"Zachary Estes","kuperman2014emotion"
"Marc Brysbaert","kuperman2014emotion"
"Amy Beth Warriner","kuperman2014emotion"
"Francesca R Sborgi Lawson","lawson2014music"
"Sean Lee","lee2014oceanic"
"T Hasegawa","lee2014oceanic"
"Péter Maitz","maitz_2014"
"Attila Németh","maitz_2014"
"Glen McBride","mcbride2014storytelling"
"Florencia Reali","reali2014paradox"
"Nick Chater","reali2014paradox"
"Morten H Christiansen","reali2014paradox"
"Kaius Sinnemäki","sinnemaki_2014d"
"Kaius Sinnemäki","sinnemaki2014complexity"
"Kim Sterelny","sterelny2014paleolithic"
"Monica Tamariz","tamariz2014cultural"
"T Mark Ellison","tamariz2014cultural"
"Dale J Barr","tamariz2014cultural"
"Nicolas Fay","tamariz2014cultural"
"James Geoffrey Thomas","thomas2014self"
"Samuel T Turvey","TurveyPettorelli2014"
"Nathalie Pettorelli","TurveyPettorelli2014"
"Tessa Verhoef","verhoef2014emergence"
"Simon Kirby","verhoef2014emergence"
"Bart de Boer","verhoef2014emergence"
"Polly W Wiessner","wiessner2014embers"
"Mark Atkinson","atkinson2015speaker"
"Simon Kirby","atkinson2015speaker"
"Kenny Smith","atkinson2015speaker"
"Christian Bentz","Bentz2015"
"Annemarie Verkerk","Bentz2015"
"Douwe Kiela","Bentz2015"
"Felix Hill","Bentz2015"
"Paula Buttery","Bentz2015"
"Claire Bowern","bowern2015linguistics"
"Lindell Bromham","bromham2015rate"
"Xia Hua","bromham2015rate"
"Thomas G Fitzpatrick","bromham2015rate"
"Simon J Greenhill","bromham2015rate"
"Marcel Cardillo","Cardillo2015"
"Lindell Bromham","Cardillo2015"
"Simon J Greenhill","Cardillo2015"
"Scott DeLancey","delancey15complexity"
"Caleb Everett","Everett2015"
"Damián E Blasi","Everett2015"
"Seán G Roberts","Everett2015"
"Richard Futrell","futrell2015quantifying"
"Kyle Mahowald","futrell2015quantifying"
"Edward Gibson","futrell2015quantifying"
"Jeff Good","Good2015"
"Simon Kirby","kirby2015compression"
"Monica Tamariz","kirby2015compression"
"Hannah Cornish","kirby2015compression"
"Kenny Smith","kirby2015compression"
"Asifa Majid","majid2015semantic"
"Fiona M Jordan","majid2015semantic"
"Michael Dunn","majid2015semantic"
"Lori Marino","marino2015brain"
"Thomas JH Morgan","morgan2015experimental"
"Natalie T Uomini","morgan2015experimental"
"Luke E Rendell","morgan2015experimental"
"Laura Chouinard-Thuly","morgan2015experimental"
"Sally E Street","morgan2015experimental"
"Hannah M Lewis","morgan2015experimental"
"Catherine P Cross","morgan2015experimental"
"Cara Evans","morgan2015experimental"
"R Kearney","morgan2015experimental"
"I De la Torre","morgan2015experimental"
"Andrew Whiten","morgan2015experimental"
"Kevin N Laland","morgan2015experimental"
"Kazuo Okanoya","okanoya2015evolution"
"Bill Palmer","palmer2015topography"
"Gareth Roberts","roberts2015communication"
"Jirka Lewandowski","roberts2015communication"
