"name","bibref"
"Susan Goldin-Meadow","fay2014creating"
"S Lee","lee2014oceanic"
"T Hasegawa","lee2014oceanic"
"Péter Maitz","maitz_2014"
"Attila Németh","maitz_2014"
"Glen McBride","mcbride2014storytelling"
"Kaius Sinnemäki","sinnemaki_2014d"
"Kaius Sinnemäki","sinnemaki2014complexity"
"Monica Tamariz","tamariz2014cultural"
"T Mark Ellison","tamariz2014cultural"
"Dale J Barr","tamariz2014cultural"
"Nicolas Fay","tamariz2014cultural"
"James Geoffrey Thomas","thomas2014self"
"Samuel T Turvey","TurveyPettorelli2014"
"Nathalie Pettorelli","TurveyPettorelli2014"
"Tessa Verhoef","verhoef2014emergence"
"Simon Kirby","verhoef2014emergence"
"Bart de Boer","verhoef2014emergence"
"Mark Atkinson","atkinson2015speaker"
"Simon Kirby","atkinson2015speaker"
"Kenny Smith","atkinson2015speaker"
"Christian Bentz","Bentz2015"
"Annemarie Verkerk","Bentz2015"
"Douwe Kiela","Bentz2015"
"Felix Hill","Bentz2015"
"Paula Buttery","Bentz2015"
"Lindell Bromham","bromham2015rate"
"Xia Hua","bromham2015rate"
"Thomas G Fitzpatrick","bromham2015rate"
"Simon J Greenhill","bromham2015rate"
"Marcel Cardillo","Cardillo2015"
"Lindell Bromham","Cardillo2015"
"Simon J Greenhill","Cardillo2015"
"Caleb Everett","Everett2015"
"Damián E Blasi","Everett2015"
"Seán G Roberts","Everett2015"
"Richard Futrell","futrell2015quantifying"
"Kyle Mahowald","futrell2015quantifying"
"Edward Gibson","futrell2015quantifying"
"Simon Kirby","kirby2015compression"
"Monica Tamariz","kirby2015compression"
"Hannah Cornish","kirby2015compression"
"Kenny Smith","kirby2015compression"
"Thomas JH Morgan","morgan2015experimental"
"Natalie T Uomini","morgan2015experimental"
"Luke E Rendell","morgan2015experimental"
"Laura Chouinard-Thuly","morgan2015experimental"
"Sharon E Street","morgan2015experimental"
"Hannah M Lewis","morgan2015experimental"
"Catherine P Cross","morgan2015experimental"
"C Evans","morgan2015experimental"
"R Kearney","morgan2015experimental"
"I De la Torre","morgan2015experimental"
"Andrew Whiten","morgan2015experimental"
"Kevin N Laland","morgan2015experimental"
"Kazuo Okanoya","okanoya2015evolution"
"Gareth Roberts","roberts2015communication"
"Jirka Lewandowski","roberts2015communication"
"Bruno Galantucci","roberts2015communication"
"Monica Tamariz","tamariz2015culture"
"Simon Kirby","tamariz2015culture"
"Caela F Welsh","welsh2015relationship"
"Christian Bentz","bentz2016learning"
"Aleksandrs Berdicevskis","bentz2016learning"
"Maryia Fedzechkina","evolang11_101"
"Becky Chu","evolang11_101"
"T Florian Jaeger","evolang11_101"
"John Trueswell","evolang11_101"
"Christine Cuskley","evolang11_119"
"Vittorio Loreto","evolang11_119"
"Federica Cavicchio","evolang11_132"
"Livnat Leemor","evolang11_132"
"Simone Shamay-Tsoory","evolang11_132"
"Wendy Sandler","evolang11_132"
"Christine Cuskley","evolang11_133"
"Bernardo Monechi","evolang11_133"
"Pietro Gravino","evolang11_133"
"Vittorio Loreto","evolang11_133"
"Rie Asano","evolang11_146"
